STRUCTURE_NUMBER_008,YEAR_BUILT_027,Material Used,DeckRating_of_Year_2007,DeckRating_of_Year_2008,DeckRating_of_Year_2009,DeckRating_of_Year_2010,DeckRating_of_Year_2011,DeckRating_of_Year_2012,DeckRating_of_Year_2013,DeckRating_of_Year_2014,DeckRating_of_Year_2015,DeckRating_of_Year_2016,DeckRating_of_Year_2017,DeckRating_of_Year_2018,DeckRating_of_Year_2019,DeckRating_of_Year_2020,DeckRating_of_Year_2021
590,1954,Steel,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7
591,2012,Prestressed Concrete,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9
592,1952,Steel,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
593,1952,Steel,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
594,2017,Prestressed Concrete,5,5,5,5,5,5,5,5,5,6,6,9,9,8,8
595,2015,Prestressed Concrete,5,5,5,5,5,5,5,5,5,9,9,8,8,8,8
596,2003,Prestressed Concrete,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
597,2003,Prestressed Concrete,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8
598,2003,Prestressed Concrete,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
603,1965,Prestressed Concrete,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
605,1965,Prestressed Concrete,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
607,1952,Steel,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
608,2012,Prestressed Concrete,5,5,5,5,5,5,9,9,9,8,8,8,8,8,8
609,2012,Prestressed Concrete,5,5,5,5,5,5,9,9,9,8,8,8,8,8,8
610,2013,Prestressed Concrete,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9
615,1995,Prestressed Concrete,5,7,7,7,7,7,7,7,7,7,7,7,7,8,8
616,1995,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
620,1985,Prestressed Concrete,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6
627,1967,Steel,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
629,1966,Steel,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
630,1966,Steel,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
631,1967,Steel,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5
634,1967,Steel,4,4,4,7,4,6,4,4,4,4,4,4,4,4,4
636,2019,Prestressed Concrete,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9
638,2019,Prestressed Concrete,3,3,3,3,3,4,4,4,4,4,4,4,4,9,9
639,2019,Prestressed Concrete,4,4,4,4,4,6,4,4,4,4,4,4,4,7,7
640,1995,Prestressed Concrete,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7
645,1982,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
646,2010,Prestressed Concrete,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9
648,2005,Prestressed Concrete,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
649,2005,Prestressed Concrete,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8
651,1984,Prestressed Concrete,7,6,6,6,6,6,6,7,7,7,7,7,7,7,7
652,1993,Prestressed Concrete,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7
653,1982,Prestressed Concrete,8,8,8,8,8,8,8,7,7,7,7,7,7,8,8
654,2017,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9
655,2006,Prestressed Concrete,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7
656,2006,Prestressed Concrete,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7
657,1980,Prestressed Concrete,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8
658,1979,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
659,1954,Wood or Timber,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
660,1951,Wood or Timber,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7
663,2016,Prestressed Concrete,8,8,8,8,8,8,8,8,8,7,9,9,9,9,9
668,1965,Steel,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7
669,1965,Steel Continuous,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7
670,1966,Steel Continuous,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7
671,2007,Steel Continuous,4,9,9,9,9,8,8,8,8,8,8,8,8,8,8
672,1993,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
674,1955,Steel,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7
675,1965,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
676,1965,Steel,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7
678,1958,Steel,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4
681,1951,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
683,1954,Steel,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
684,1955,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
685,1986,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
686,1957,Steel,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
687,1956,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
688,1985,Prestressed Concrete Continuous,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
689,1955,Steel,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7
690,2016,Prestressed Concrete,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9
693,1973,Steel,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6
